@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute shellData-1 numeric
@attribute shellData-2 numeric
@attribute shellData-3 numeric
@attribute shellData-4 numeric
@attribute shellData-5 numeric
@attribute shellData-6 numeric
@attribute shellData-7 numeric
@attribute shellData-8 numeric
@attribute shellData-9 numeric
@attribute shellData-10 numeric
@attribute shellData-11 numeric
@attribute shellData-12 numeric

@data
302,'2017/08/16 15:51:39:992',6,14.473748,1.27338,7.135331,7.101007,2.52278,2.610946,23.517994,7.036134,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
303,'2017/08/16 15:51:40:028',6,14.472067,1.272398,7.143384,7.110316,2.521166,2.609834,23.52018,7.031018,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
304,'2017/08/16 15:51:40:053',6,14.467141,1.271652,7.152253,7.119851,2.52054,2.609838,23.521265,7.027005,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
305,'2017/08/16 15:51:40:101',6,14.472899,1.272211,7.16061,7.129377,2.518963,2.608804,23.520706,7.024586,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
306,'2017/08/16 15:51:40:128',6,14.479029,1.274268,7.169437,7.138756,2.516304,2.606877,23.519585,7.021821,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
307,'2017/08/16 15:51:40:157',6,14.481061,1.274127,7.178542,7.148228,2.513836,2.605441,23.517342,7.017308,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
308,'2017/08/16 15:51:40:188',6,14.481519,1.27365,7.188377,7.158781,2.51234,2.60411,23.515892,7.014059,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
309,'2017/08/16 15:51:40:217',6,14.476262,1.271511,7.197569,7.168141,2.511362,2.603449,23.514622,7.009856,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
310,'2017/08/16 15:51:40:294',6,14.471403,1.270602,7.206026,7.176365,2.510307,2.602984,23.512781,7.003921,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
311,'2017/08/16 15:51:40:331',6,14.472353,1.270131,7.215286,7.186348,2.510123,2.602312,23.513723,6.99835,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
312,'2017/08/16 15:51:40:359',6,14.470805,1.270487,7.224847,7.195832,2.508265,2.600736,23.510181,6.994205,0.349804,0.801299,0.232221,0.834856,0.908496,0.500482,0.403262,0.306955,0.443211,0.038941,0.426491,0.087302
